S. No.,Message_body,Label,sender,receivers,month,to_L,to_T
502,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Non-Spam,B7654,L2806,1,0,0
503,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Non-Spam,B7683,L2869,1,0,0
504,I dunno lei... Like dun haf...,Non-Spam,B7706,L2901,1,0,0
505,Ok i also wan 2 watch e 9 pm show...,Non-Spam,B7718,L2916,1,0,0
506,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Non-Spam,B7725,L3004,1,0,0
507,"Sorry, I'll call you  later. I am in meeting sir.",Non-Spam,B7760,L3117,1,0,0
508,I think i am disturbing her da,Non-Spam,B7765,L3125,1,0,0
509,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Spam,B7769,L3199,1,0,0
510,"Geeeee ... Your internet is really bad today, eh ?",Non-Spam,B7778,L3235,1,0,0
511,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Non-Spam,B7787,L3244,1,0,0
512,Goodnight da thangam I really miss u dear.,Non-Spam,B7812,L3359,1,0,0
513,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Non-Spam,B7829,L3428,1,0,0
514,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Spam,B7831,L3444,1,0,0
515,Lmao you know me so well...,Non-Spam,B7852,L3449,1,0,0
516,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Non-Spam,B7854,L3557,1,0,0
517,With my sis lor... We juz watched italian job.,Non-Spam,B7977,L3666,1,0,0
518,I will vote for wherever my heart guides me,Non-Spam,B7983,L3706,1,0,0
519,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Non-Spam,B8002,L3749,1,0,0
520,Hmmm.still we dont have opener?,Non-Spam,B8090,L3948,1,0,0
521,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,Non-Spam,B8157,L3969,1,0,0
522,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Non-Spam,B8161,L4016,1,0,0
523,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Non-Spam,B8167,L4047,1,0,0
524,O ic lol. Should play 9 doors sometime yo,Non-Spam,B8205,L4086,1,0,0
525,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,Spam,B8210,L4096,1,0,0
526,She ran off with a younger man. we will make pretty babies together :),Non-Spam,B8282,L4099,1,0,0
527,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Spam,B8299,L4100,1,0,0
528,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Non-Spam,B8341,L4152,1,0,0
529,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Non-Spam,B8460,L4177,1,0,0
530,(You didn't hear it from me),Non-Spam,B8477,L4214,1,0,0
531,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,Spam,B8559,L4222,1,0,0
532,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam,B8565,L4303,1,0,0
533,I want to go to perumbavoor,Non-Spam,B8594,L4339,1,0,0
534,"* Was really good to see you the other day dudette, been missing you!",Non-Spam,B8704,L4348,1,0,0
535,Ok i vl..do u know i got adsense approved..,Non-Spam,B8723,L4350,1,0,0
536,Hey... Very inconvenient for your sis a not huh?,Non-Spam,B8748,L4437,1,0,0
537,Is there coming friday is leave for pongal?do you get any news from your work place.,Non-Spam,B8771,L4448,1,0,0
538,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),Spam,B8890,L4546,1,0,0
539,Go chase after her and run her over while she's crossing the street,Non-Spam,B8896,L4635,1,0,0
540,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,Spam,B8936,L4685,1,0,0
541,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Spam,B8943,L4688,1,0,0
542,I was gonna ask you lol but i think its at 7,Non-Spam,B8954,L4715,1,0,0
543,Where you. What happen,Non-Spam,B9024,L4748,1,0,0
544,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Non-Spam,B9111,L4750,1,0,0
545,Yes its possible but dint try. Pls dont tell to any one k,Non-Spam,B9122,L4760,1,0,0
546,:-( sad puppy noise,Non-Spam,B9137,L4843,1,0,0
547,"It's cool, we can last a little while. Getting more any time soon?",Non-Spam,B9157,L4846,1,0,0
548,Great! How is the office today?,Non-Spam,B9184,L4939,1,0,0
549,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,Non-Spam,B9252,L4943,1,0,0
550,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,Spam,B9258,L4958,1,0,0
551,Hey gals...U all wanna meet 4 dinner at n�te? ,Non-Spam,B9318,L4981,1,0,0
552,I think the other two still need to get cash but we can def be ready by 9,Non-Spam,B9328,L5015,1,0,0
553,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Non-Spam,B9344,L5063,1,0,0
554,"Uncle G, just checking up on you. Do have a rewarding month",Non-Spam,B9490,L5069,1,0,0
555,U attend ur driving lesson how many times a wk n which day?,Non-Spam,B9502,L5100,1,0,0
556,You have WON a guaranteed �1000 cash or a �2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam,B9584,L5123,1,0,0
557,"By the way, 'rencontre' is to meet again. Mountains dont....",Non-Spam,B9586,L5183,1,0,0
558,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",Non-Spam,B9607,L5193,1,0,0
559,Go fool dont cheat others ok,Non-Spam,B9624,L5221,1,0,0
560,Oh k. . I will come tomorrow,Non-Spam,B9692,L5262,1,0,0
561,ILL B DOWN SOON,Non-Spam,B9705,L5382,1,0,0
562,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Non-Spam,B9710,L5392,1,0,0
563,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Non-Spam,B9726,L5403,1,0,0
564,CDs 4u: Congratulations ur awarded �500 of CD gift vouchers or �125 gift guaranteed & Freeentry 2 �100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,Spam,B9801,L5405,1,0,0
565,You still around? Looking to pick up later,Non-Spam,L0039,L5406,1,1,0
566,"Nope. Since ayo travelled, he has forgotten his guy",Non-Spam,L0080,L5419,1,1,0
567,Well its not like you actually called someone a punto. That woulda been worse.,Non-Spam,L0105,L5430,1,1,0
568,"Hmph. Go head, big baller.",Non-Spam,L0125,L5432,1,1,0
569,Can you talk with me..,Non-Spam,L0132,L5481,1,1,0
570,Esplanade lor. Where else...,Non-Spam,L0146,L5528,1,1,0
571,Happy new year. Hope you are having a good semester,Non-Spam,L0205,L5550,1,1,0
572,"Just looked it up and addie goes back Monday, sucks to be her",Non-Spam,L0235,L5645,1,1,0
573,My drive can only be read. I need to write,Non-Spam,L0240,L5653,1,1,0
574,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",Non-Spam,L0242,L5661,1,1,0
575,I'm hungry buy smth home...,Non-Spam,L0265,L5673,1,1,0
576,"We made it! Eta at taunton is 12:30 as planned, hope that�s still okday?! Good to see you! :-xx",Non-Spam,L0266,L5742,1,1,0
577,Phony �350 award - Todays Voda numbers ending XXXX are selected to receive a �350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Spam,L0310,L5811,1,1,0
578,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,Non-Spam,L0405,L5901,1,1,0
579,Which channel:-):-):):-).,Non-Spam,L0444,L5929,1,1,0
580,No rushing. I'm not working. I'm in school so if we rush we go hungry.,Non-Spam,L0484,L5935,1,1,0
581,That's y u haf 2 keep me busy...,Non-Spam,L0514,L5969,1,1,0
582,Dont let studying stress you out. L8r.,Non-Spam,L0519,L6003,1,1,0
583,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,Spam,L0526,L6074,1,1,0
584,Networking job is there.,Non-Spam,L0548,L6123,1,1,0
585,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,Non-Spam,L0554,L6143,1,1,0
586,I said its okay. Sorry,Non-Spam,L0565,L6145,1,1,0
587,So what u doing today?,Non-Spam,L0590,L6171,1,1,0
588,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),Non-Spam,L0641,L6282,1,1,0
589,JADE ITS PAUL. Y DIDN�T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,Non-Spam,L0689,L6320,1,1,0
590,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",Non-Spam,L0714,L6388,1,1,0
591,You are gorgeous! keep those pix cumming :) thank you!,Non-Spam,L0730,L6412,1,1,0
592,Yar... I tot u knew dis would happen long ago already.,Non-Spam,L0797,L6422,1,1,0
593,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Non-Spam,L0801,L6445,1,1,0
594,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,Non-Spam,L0845,L6481,1,1,0
595,I'm fine. Hope you are good. Do take care.,Non-Spam,L0854,L6495,1,1,0
596,Hey come online! Use msn... We are all there,Non-Spam,L0879,L6509,1,1,0
597,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Non-Spam,L0883,L6537,1,1,0
598,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,Non-Spam,L0892,L6651,1,1,0
599,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Non-Spam,L0935,L6678,1,1,0
600,You can donate �2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. �2.50 will be added to your next bill,Spam,L0982,L6693,1,1,0
601,URGENT! We are trying to contact U. Todays draw shows that you have won a �2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,Spam,L1005,L6845,1,1,0
602,"A few people are at the game, I'm at the mall with iouri and kaila",Non-Spam,L1010,L6937,1,1,0
603,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Spam,L1046,L7005,1,1,0
604,I want to see your pretty pussy...,Non-Spam,L1178,L7017,1,1,0
605,Yup ok...,Non-Spam,L1273,L7069,1,1,0
606,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",Non-Spam,L1285,L7104,1,1,0
607,I want  &lt;#&gt;  rs da:)do you have it?,Non-Spam,L1309,L7234,1,1,0
608,"What i mean was i left too early to check, cos i'm working a 9-6.",Non-Spam,L1316,L7244,1,1,0
609,Why didn't u call on your lunch?,Non-Spam,L1334,L7267,1,1,0
610,I'm vivek:)i got call from your number.,Non-Spam,L1355,L7280,1,1,0
611,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",Non-Spam,L1418,L7294,1,1,0
612,Doing my masters. When will you buy a bb cos i have for sale and how's bf,Non-Spam,L1431,B0004,1,1,0
613,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,Non-Spam,L1481,B0071,1,1,0
614,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Non-Spam,L1489,B0078,1,1,0
615,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",Spam,L1531,B0082,1,1,0
616,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Non-Spam,L1568,B0115,1,1,0
617,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,Non-Spam,L1627,B0153,1,1,0
618,I am in bus on the way to calicut,Non-Spam,L1632,B0182,1,1,0
619,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",Spam,L1640,B0193,1,1,0
620,Great News! Call FREEFONE 08006344447 to claim your guaranteed �1000 CASH or �2000 gift. Speak to a live operator NOW!,Spam,L1652,B0216,1,1,0
621,I'm already back home so no probably not,Non-Spam,L1670,B0226,1,1,0
622,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",Non-Spam,L1730,B0365,1,1,0
623,Wrong phone! This phone! I answer this one but assume the other is people i don't well,Non-Spam,L1746,B0446,1,1,0
624,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam,L1781,B0518,1,1,0
625,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Non-Spam,L1837,B0578,1,1,0
626,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Non-Spam,L1892,B0585,1,1,0
627,� go home liao? Ask dad to pick me up at 6...,Non-Spam,L1906,B0587,1,1,0
628,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,Non-Spam,L1917,B0693,1,1,0
629,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,Non-Spam,L1989,B0703,1,1,0
630,G wants to know where the fuck you are,Non-Spam,L2125,B0733,1,1,0
631,K..k.:)congratulation ..,Non-Spam,L2139,B0786,1,1,0
632,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",Non-Spam,L2187,B0847,1,1,0
633,Hey do you want anything to buy:),Non-Spam,L2203,B0875,1,1,0
634,Once free call me sir.,Non-Spam,L2204,B0881,1,1,0
635,Match started.india  &lt;#&gt;  for 2,Non-Spam,L2213,B0886,1,1,0
636,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",Non-Spam,L2241,B0899,1,1,0
637,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",Spam,L2277,B0929,1,1,0
638,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam,L2293,B1028,1,1,0
639,Just hopeing that wasn�t too pissed up to remember and has gone off to his sisters or something!,Non-Spam,L2355,B1035,1,1,0
640,Wanna do some art?! :D,Non-Spam,L2397,B1115,1,1,0
641,"Oh yes, why is it like torture watching england?",Non-Spam,L2402,B1141,1,1,0
642,Ok... Let u noe when i leave my house.,Non-Spam,L2446,B1144,1,1,0
643,We can go 4 e normal pilates after our intro...  ,Non-Spam,L2451,B1147,1,1,0
644,Oh yah... We never cancel leh... Haha ,Non-Spam,L2547,B1199,1,1,0
645,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,Non-Spam,L2591,B1221,1,1,0
646,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",Non-Spam,L2604,B1231,1,1,0
647,"G says you never answer your texts, confirm/deny",Non-Spam,L2605,B1258,1,1,0
648,Re your call; You didn't see my facebook huh?,Non-Spam,L2679,B1306,1,1,0
649,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,Non-Spam,L2761,B1338,1,1,0
650,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",Spam,L2762,B1371,1,1,0
651,"Just dropped em off, omw back now",Non-Spam,L2775,B1389,1,1,0
652,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Non-Spam,L2787,B1399,1,1,0
653,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,Non-Spam,L2799,B1404,1,1,0
654,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Spam,L2806,B1455,1,1,0
655,I am on the way to tirupur.,Non-Spam,L2869,B1457,1,1,0
656,Love that holiday Monday feeling even if I have to go to the dentists in an hour,Non-Spam,L2901,B1514,1,1,0
657,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,Non-Spam,L2916,B1575,1,1,0
658,Will do. Have a good day,Non-Spam,L3004,B1584,1,1,0
659,"I'm in solihull, | do you want anything?",Non-Spam,L3117,B1588,1,1,0
660,Then anything special?,Non-Spam,L3125,B1653,1,1,0
661,Will you come online today night,Non-Spam,L3199,B1654,1,1,0
662,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,Spam,L3235,B1717,1,1,0
663,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",Non-Spam,L3244,B1751,1,1,0
664,I;m reaching in another 2 stops.,Non-Spam,L3359,B1776,1,1,0
665,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,Spam,L3428,B1785,1,1,0
666,Taka lor. Wat time u wan 2 come n look 4 us?,Non-Spam,L3444,B1806,1,1,0
667,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",Spam,L3449,B1817,1,1,0
668,"Haha, that was the first person I was gonna ask",Non-Spam,L3557,B1845,1,1,0
669,Oh for fuck's sake she's in like tallahassee,Non-Spam,L3666,B1874,1,1,0
670,I cant pick the phone right now. Pls send a message,Non-Spam,L3706,B1875,1,1,0
671,2 and half years i missed your friendship:-),Non-Spam,L3749,B1878,1,1,0
672,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,Spam,L3948,B1921,1,1,0
673,Convey my regards to him,Non-Spam,L3969,B1971,1,1,0
674,Send me the new number,Non-Spam,L4016,B2006,1,1,0
675,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,Non-Spam,L4047,B2009,1,1,0
676,Its worse if if uses half way then stops. Its better for him to complete it.,Non-Spam,L4086,B2102,1,1,0
677,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,Non-Spam,L4096,B2193,1,1,0
678,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",Non-Spam,L4099,B2209,1,1,0
679,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,Non-Spam,L4100,B2235,1,1,0
680,Todays Vodafone numbers ending with 4882 are selected to a receive a �350 award. If your number matches call 09064019014 to receive your �350 award.,Spam,L4152,B2280,1,1,0
681,Or just do that 6times,Non-Spam,L4177,B2299,1,1,0
682,Poor girl can't go one day lmao,Non-Spam,L4214,B2320,1,1,0
683,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,Non-Spam,L4222,B2332,1,1,0
684,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam,L4303,B2353,1,1,0
685,As usual u can call me ard 10 smth.,Non-Spam,L4339,B2373,1,1,0
686,When/where do I pick you up,Non-Spam,L4348,B2379,1,1,0
687,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,Non-Spam,L4350,B2385,1,1,0
688,Yeah just open chat and click friend lists. Then make the list. Easy as pie,Non-Spam,L4437,B2474,1,1,0
689,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,Spam,L4448,B2499,1,1,0
690,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,Non-Spam,L4546,B2532,1,1,0
691,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Spam,L4635,B2570,1,1,0
692,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",Non-Spam,L4685,B2624,1,1,0
693,Wat happened to the cruise thing,Non-Spam,L4688,B2661,1,1,0
694,Lol! Oops sorry! Have fun. ,Non-Spam,L4715,B2667,1,1,0
695,Hi dis is yijue i would be happy to work wif � all for gek1510...,Non-Spam,L4748,B2708,1,1,0
696,Well. You know what i mean. Texting,Non-Spam,L4750,B2742,1,1,0
697,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,Non-Spam,L4760,B2754,1,1,0
698,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,Non-Spam,L4843,B2765,1,1,0
699,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Non-Spam,L4846,B2771,1,1,0
700,Okey dokey swashbuckling stuff what oh.,Non-Spam,L4939,B2786,1,1,0
701,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Non-Spam,L4943,B2805,1,1,0
702,I'm really sorry I lit your hair on fire,Non-Spam,L4958,B2819,1,1,0
703,Sorry da..today i wont come to play..i have driving clas..,Non-Spam,L4981,B2825,1,1,0
704,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Spam,L5015,B2834,1,1,0
705,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,Spam,L5063,B2859,1,1,0
706,Nokia phone is lovly..,Non-Spam,L5069,B2966,1,1,0
707,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",Non-Spam,L5100,B3005,1,1,0
708,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",Non-Spam,L5123,B3063,1,1,0
709,Ok...,Non-Spam,L5183,B3098,1,1,0
710,Thanks  and ! Or bomb and date as my phone wanted to say! ,Non-Spam,L5193,B3151,1,1,0
711,yes baby! I need to stretch open your pussy!,Non-Spam,L5221,B3164,1,1,0
712,Same to u...,Non-Spam,L5262,B3256,1,1,0
713,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Non-Spam,L5382,B3325,1,1,0
714,I'm fine. Hope you are also,Non-Spam,L5392,B3333,1,1,0
715,I liked your new house,Non-Spam,L5403,B3447,1,1,0
716,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,Non-Spam,L5405,B3481,1,1,0
717,Maybe you should find something else to do instead???,Non-Spam,L5406,B3532,1,1,0
718,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,Non-Spam,L5419,B3590,1,1,0
719,S.this will increase the chance of winning.,Non-Spam,L5430,B3599,1,1,0
720,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,Non-Spam,L5432,B3646,1,1,0
721,Pls help me tell Ashley that i cant find her number oh,Non-Spam,L5481,B3753,1,1,0
722,Missing you too.pray inshah allah,Non-Spam,L5528,B3763,1,1,0
723,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a �150 prize. To collect is easy. Just call 09061743386 ,Spam,L5550,B3830,1,1,0
724,I need details about that online job.,Non-Spam,L5645,B3953,1,1,0
725,"Awesome, that gonna be soon or later tonight?",Non-Spam,L5653,B3961,1,1,0
726,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Non-Spam,L5661,B4025,1,1,0
727,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,Spam,L5673,B4027,1,1,0
728,That's one of the issues but california is okay. No snow so its manageable,Non-Spam,L5742,B4057,1,1,0
729,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Non-Spam,L5811,B4089,1,1,0
730,....photoshop makes my computer shut down.,Non-Spam,L5901,B4097,1,1,0
731,Yay can't wait to party together!,Non-Spam,L5929,B4104,1,1,0
732,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Non-Spam,L5935,B4106,1,1,0
733,I hope your pee burns tonite.,Non-Spam,L5969,B4132,1,1,0
734,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY �1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",Spam,L6003,B4144,1,1,0
735,Rats. Hey did u ever vote for the next themes?,Non-Spam,L6074,B4179,1,1,0
736,Po de :-):):-):-):-). No need job aha.,Non-Spam,L6123,B4213,1,1,0
737,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Non-Spam,L6143,B4228,1,1,0
738,"How long before you get reply, just defer admission til next semester",Non-Spam,L6145,L0039,1,1,0
739,Lol no. Just trying to make your day a little more interesting,Non-Spam,L6171,L0080,1,1,0
740,Yup but it's not giving me problems now so mayb i'll jus leave it...,Non-Spam,L6282,L0105,1,1,0
741,"Haha, just what I was thinkin",Non-Spam,L6320,L0125,1,1,0
742,I am going to sleep. I am tired of travel.,Non-Spam,L6388,L0132,1,1,0
743,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,Non-Spam,L6412,L0146,1,1,0
744,:-) :-),Non-Spam,L6422,L0205,1,1,0
